DSP_autocor_c,10069,9377,"1,073798",522099,6114,-loop-rotate, -scalarrepl-ssa, -loop-reduce, -loop-unswitch, -sccp, -loop-idiom, -sink, -loop-deletion, -simplifycfg,9377,-domtree, -lowerswitch, -loop-rotate, -loop-rotate, -scalarrepl-ssa, -loop-reduce, -mergefunc, -loop-unswitch, -sccp, -strip-dead-prototypes, -loop-idiom, -sink, -basicaa, -reassociate, -dce, -targetlibinfo, -loop-deletion, -always-inline, -loop-unroll, -simplifycfg, -instcombine, -loop-simplify,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_autocor_c,10069,9384,"1,072997",511570,6113,-loop-rotate, -instcombine, -scalarrepl-ssa, -loop-reduce, -loop-unswitch, -sccp, -simplifycfg, -loop-idiom, -indvars, -sink,9384,-indvars, -loop-rotate, -jump-threading, -loop-rotate, -simplifycfg, -instcombine, -scalarrepl-ssa, -constprop, -loop-reduce, -loop-simplify, -licm, -reassociate, -loop-simplify, -loop-unswitch, -sccp, -dse, -simplifycfg, -scalarrepl-ssa, -loop-idiom, -reassociate, -globalopt, -indvars, -ipconstprop, -sink, -scalarrepl,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_autocor_c,10069,9368,"1,074829",535636,6130,-scalarrepl, -loop-reduce, -loop-rotate, -loop-unswitch, -gvn, -licm, -loop-idiom, -loop-deletion, -simplifycfg, -indvars, -instcombine,9368,-argpromotion, -scalarrepl, -memdep, -loop-reduce, -dse, -loop-rotate, -loop-rotate, -gvn, -loop-unswitch, -functionattrs, -gvn, -loop-unswitch, -die, -scalarrepl, -scalarrepl, -licm, -loop-idiom, -loop-deletion, -simplifycfg, -indvars, -instcombine, -lower-expect, -instsimplify, -adce,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap16_c,3664,3664,1,275140,4043,-scalarrepl, -loop-rotate, -indvars,3664,-scalarrepl, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap16_c,3664,3664,1,340018,4638,-scalarrepl, -loop-rotate, -indvars,3664,-scalarrepl, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap16_c,3664,3655,"1,002462",459625,5947,-instcombine, -scalarrepl, -licm, -loop-reduce, -loop-rotate, -gvn, -indvars,3655,-instcombine, -scalarrepl, -licm, -constmerge, -loop-reduce, -loop-rotate, -gvn, -indvars, -loop-unroll, -loop-instsimplify, -loop-accesses,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap32_c,3078,3076,"1,00065",221691,3286,-scalarrepl-ssa, -loop-rotate,3076,-scalarrepl-ssa, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap32_c,3078,3076,"1,00065",236479,3469,-loop-rotate, -scalarrepl-ssa,3076,-loop-rotate, -scalarrepl-ssa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap32_c,3078,3065,"1,004241",478667,5961,-loop-rotate, -instcombine, -scalarrepl-ssa, -instsimplify, -licm, -codegenprepare, -ipsccp, -indvars, -licm, -early-cse,3065,-loop-rotate, -inline, -instcombine, -scalarrepl-ssa, -instsimplify, -licm, -codegenprepare, -ipsccp, -indvars, -indvars, -licm, -early-cse, -prune-eh,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap64_c,2800,2798,"1,000715",217609,3144,-loop-rotate, -scalarrepl-ssa,2798,-loop-rotate, -scalarrepl-ssa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap64_c,2800,2798,"1,000715",215240,3069,-scalarrepl-ssa, -loop-rotate,2798,-scalarrepl-ssa, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap64_c,2800,2798,"1,000715",249708,3391,-loop-rotate, -scalarrepl-ssa,2798,-loop-rotate, -scalarrepl-ssa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_move_c,907,898,"1,010022",355833,4881,-loop-rotate, -instcombine, -scalarrepl-ssa, -indvars,898,-loop-rotate, -instcombine, -scalarrepl-ssa, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_move_c,907,898,"1,010022",393410,5279,-instcombine, -scalarrepl-ssa, -loop-rotate, -indvars,898,-instcombine, -scalarrepl-ssa, -loop-rotate, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_move_c,907,898,"1,010022",355614,4881,-instcombine, -scalarrepl-ssa, -loop-rotate, -indvars,898,-instcombine, -scalarrepl-ssa, -loop-rotate, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotprod_c,827,827,1,302782,4440,-loop-rotate, -scalarrepl, -indvars,827,-loop-rotate, -scalarrepl, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotprod_c,827,827,1,272511,4139,-scalarrepl-ssa, -loop-rotate, -indvars,827,-scalarrepl-ssa, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotprod_c,827,827,1,286168,4099,-scalarrepl, -loop-rotate, -indvars,827,-scalarrepl, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotp_sqr_c,2906,2906,1,321902,4725,-loop-rotate, -scalarrepl-ssa, -gvn, -indvars,2906,-loop-rotate, -scalarrepl-ssa, -gvn, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotp_sqr_c,2906,2906,1,355399,5169,-loop-rotate, -scalarrepl, -indvars, -gvn,2906,-loop-rotate, -scalarrepl, -indvars, -gvn,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotp_sqr_c,2906,2906,1,464456,5153,-loop-rotate, -gvn, -instcombine, -indvars, -basicaa,2906,-loop-rotate, -gvn, -instcombine, -indvars, -basicaa,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fir_cplx_c,8509,8262,"1,029896",508757,6031,-scalarrepl, -early-cse, -instcombine, -loop-rotate, -gvn, -loop-unswitch,8262,-scalarrepl, -early-cse, -instcombine, -functionattrs, -loop-instsimplify, -loop-rotate, -simplifycfg, -strip-dead-prototypes, -gvn, -instsimplify, -loop-unswitch, -inline,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
