DSP_dotprod_c;827;827;1.000000;173.876;2596;-scalarrepl, -loop-rotate, -indvars;827;-scalarrepl, -loop-rotate, -indvars;3
DSP_dotprod_c;827;827;1.000000;206.983;2995;-scalarrepl, -loop-rotate, -indvars;827;-scalarrepl, -loop-rotate, -indvars;3
DSP_dotp_sqr_c;2906;2906;1.000000;171.286;2649;-loop-rotate, -scalarrepl, -gvn, -indvars;2906;-loop-rotate, -scalarrepl, -gvn, -indvars;4
DSP_dotp_sqr_c;2906;2906;1.000000;211.654;3179;-scalarrepl, -loop-rotate, -gvn, -indvars;2906;-scalarrepl, -loop-rotate, -gvn, -indvars;4
DSP_dotp_sqr_c;2906;2906;1.000000;253.661;3572;-scalarrepl, -loop-rotate, -indvars, -gvn;2906;-scalarrepl, -loop-rotate, -indvars, -gvn;4
DSP_fir_cplx_c;8509;8277;1.028029;290.934;3937;-scalarrepl-ssa, -licm, -gvn, -loop-unswitch, -loop-rotate, -simplifycfg;8277;-mergereturn, -mergereturn, -scalarrepl-ssa, -licm, -gvn, -loop-unswitch, -loop-rotate, -scalarrepl, -loops, -simplifycfg;10
DSP_fir_cplx_c;8509;8263;1.029771;290.895;3964;-scalarrepl, -gvn, -loop-rotate, -loop-unswitch, -reassociate;8265;-correlated-propagation, -loop-idiom, -scalarrepl, -gvn, -sancov, -loop-idiom, -loop-unswitch, -loop-rotate, -scalarrepl, -loop-rotate, -loop-unswitch, -simplifycfg, -dse, -no-aa, -mergereturn, -reassociate;16
DSP_fir_cplx_c;8509;8258;1.030395;284.236;3702;-gvn, -loop-rotate, -reassociate, -loop-unswitch, -basicaa, -codegenprepare, -scalarrepl;8258;-gvn, -loop-rotate, -reassociate, -loop-unswitch, -basicaa, -codegenprepare, -scalarrepl;7
DSP_firlms2_c;831.0000000000001;821;1.012180;149.217;1992;-loop-rotate, -scalarrepl-ssa;821;-loop-rotate, -scalarrepl-ssa;2
DSP_firlms2_c;831.0000000000001;821;1.012180;181.585;2397;-loop-rotate, -scalarrepl-ssa;821;-loop-rotate, -scalarrepl-ssa;2
DSP_firlms2_c;831;820;1.013415;193.299;2482;-scalarrepl, -loop-reduce, -loop-rotate;820;-scalarrepl, -loop-reduce, -loop-rotate;3
DSP_fltoq15_c;1015.0000000000001;967;1.049638;166.690;2470;-jump-threading, -loop-rotate, -scalarrepl-ssa;967;-jump-threading, -loop-rotate, -scalarrepl-ssa;3
DSP_fltoq15_c;1015.0000000000001;967;1.049638;168.051;2541;-jump-threading, -loop-rotate, -scalarrepl-ssa;967;-jump-threading, -loop-rotate, -scalarrepl-ssa;3
DSP_fltoq15_c;1015.0000000000001;967;1.049638;172.367;2629;-scalarrepl, -jump-threading, -loop-rotate;967;-scalarrepl, -jump-threading, -loop-rotate;3
DSP_mat_mul_c;53236;49716;1.070802;351.099;3559;-scalarrepl, -loop-reduce, -loop-rotate, -loop-unswitch, -lowerswitch, -licm, -loop-reduce, -loop-unswitch;49716;-scalarrepl, -licm, -loop-reduce, -loop-rotate, -loop-unswitch, -loop-reduce, -lowerswitch, -loop-rotate, -scalarrepl, -licm, -loop-reduce, -loop-rotate, -loop-unswitch;13
DSP_mat_mul_c;53236;49716;1.070802;441.608;4011;-scalarrepl, -loop-reduce, -loop-rotate, -loop-unswitch, -loop-unswitch, -licm, -loop-reduce, -simplifycfg;49716;-strip-dead-prototypes, -scalarrepl, -loop-reduce, -dse, -scalarrepl, -loop-rotate, -sink, -loop-unswitch, -prune-eh, -sink, -loop-unswitch, -prune-eh, -licm, -loop-reduce, -dse, -deadargelim, -lower-expect, -strip-dead-prototypes, -functionattrs, -simplifycfg, -domtree;21
